client_id,product_category_name,utm_source,utm_content,utm_campaign,date,cpc
1ad6099ac84f192da5032c56f93a61da,Кредитная карта,partner,aliexpress,13,2022-03-01,43513
2a561c841ef0a7f4ee0799f6a16b228b,Кредитная карта,telegram,tuzemunio,16,2022-03-01,35550
7c966010247d7c62216c55b8dd8288e4,Кредитная карта,partner,banki_ru,37,2022-03-01,31786
4f3216e9fa0ff43e57a394e146142aa6,Кредитная карта,yandex_rsya,,32,2022-03-01,34340
e7c78b5c11a2d420c82c7e71ae127ec7,Договор на текущий счет для дебетовой карты,telegram,design_hell,5,2022-03-01,47920
e668a429ef9cc1c912131c40d3824cad,Кредитная карта,telegram,yandex,49,2022-03-01,13294
525ba66cc7a98b4b4df61997ee0cad76,Кредитная карта,telegram,exboyfriend,18,2022-03-01,30212
cf773daad103d29ad68b682ae797e8c3,Договор на текущий счет для дебетовой карты,yandex_dzen,,9,2022-03-01,9276
d3180cbd572b9949b57de9c5af9c7650,Договор на текущий счет для дебетовой карты,telegram,gruexam,10,2022-03-01,41231
16a871c662a768a05d8f877f4b999e46,Кредитная карта,yandex_dzen,,30,2022-03-01,48592
cc32a73f5391e0d61064080cf80185bb,Договор на текущий счет для дебетовой карты,telegram,bloggalini,19,2022-03-01,6576
760b69ecbd571c2874a1ffb57bccaf2f,Кредитная карта,yandex_dzen,,37,2022-03-01,28932
1354cb610e2562cd6ac00636ea143bd2,Договор на текущий счет для дебетовой карты,telegram,Cbpub,25,2022-03-01,32965
d5aff33f15fa6b16396e2317043e6301,Кредитная карта,telegram,maslennikovliga,19,2022-03-01,48092
dc65b3ea1a2234de145b7d6d129bf336,Кредитная карта,yandex_rsya,,42,2022-03-01,46222
9057d2ca50552d46f3de1f2b784b976e,Кредитная карта,yandex_dzen,,45,2022-03-01,37629
9edfdf95eda1193fe50beeca9d5d5074,Договор на текущий счет для дебетовой карты,yandex_dzen,,18,2022-03-01,26458
2aad234f2e584c3f88fc42a974217d0c,Договор на текущий счет для дебетовой карты,yandex_rsya,,1,2022-03-01,10843
986e5bde8e87c834349cb751339343fd,Кредитная карта,yandex_dzen,,3,2022-03-01,25109
80f6200d316afdcaaa701082848a7a67,Договор на текущий счет для дебетовой карты,telegram,knigi_podborki,28,2022-03-01,31096
b8fff0faed1f092624c11f81629c85c4,Кредитная карта,partner,holodilnik_ru,23,2022-03-01,32148
687cd27bb79d74d16da549b9efd19a6b,Кредитная карта,yandex_rsya,,35,2022-03-01,38790
2827d611fdbbd7ff0835873131c178f7,Кредитная карта,yandex_dzen,,19,2022-03-01,28373
0388515be0ccbe35dcb058f3ac216b5c,Кредитная карта,partner,holodilnik_ru,18,2022-03-01,42867
5d87e2d560c63225f9b6f247c12d2fa9,Договор на текущий счет для дебетовой карты,partner,m_video,47,2022-03-01,29558
f8a6d91cc3d632d95b04c26f94ab35ca,Кредитная карта,yandex_rsya,,35,2022-03-01,40778
433cc5fc620964e711be89b16066c02d,Кредитная карта,partner,m_video,38,2022-03-01,25520
545f35460d94d951f61365d25a1f64f1,Кредитная карта,telegram,hsealumnichannel,13,2022-03-01,10345
18d1690a39f39634a9e9d8ccf7193653,Кредитная карта,yandex_dzen,,44,2022-03-01,24255
c42b83d202f26d803245d764c16ec568,Кредитная карта,telegram,bi_plan,10,2022-03-01,35802
b0b0e1dc67018fd75ae9f44d6a832bf4,Кредитная карта,telegram,guides_python,16,2022-03-01,15292
6f907c46dd787b2e1a56de622d218091,Кредитная карта,partner,aliexpress,48,2022-03-01,20119
7d6c0b09fa9c33bcb393c8bc1ce14a84,Кредитная карта,telegram,ikyklovod,13,2022-03-01,27994
8044f1cf7d80b7ffef95dcee507a1c14,Кредитная карта,telegram,informertgg,38,2022-03-01,21666
57d9cace849b5ea9235cb8a576079ae9,Кредитная карта,telegram,ombudsmen2,27,2022-03-01,31523
3dbec2436dc4910d5006ece104084d2f,Договор на текущий счет для дебетовой карты,partner,sravni_ru,45,2022-03-01,33244
5431157c3e0d8bcbd4d1247cd35b4e26,Договор на текущий счет для дебетовой карты,yandex_rsya,,38,2022-03-01,14863
22a0606c17fb96acb62e7f21bdd4baaf,Договор на текущий счет для дебетовой карты,partner,m_video,41,2022-03-01,42819
7ef67e5628ecf1ba466b6381757b8d9b,Кредитная карта,yandex_dzen,,48,2022-03-01,37257
c255974929f56e27435be8e6b1e60acd,Договор на текущий счет для дебетовой карты,yandex_dzen,,10,2022-03-01,23714
55ad673870b06f76afdb9a92ee771e1a,Договор на текущий счет для дебетовой карты,yandex_dzen,,47,2022-03-01,26511
662ddb862461479f2113cf512c228a5b,Кредитная карта,partner,sravni_ru,5,2022-03-01,28659
3654430c2ffc2017446979a402de29cf,Кредитная карта,telegram,kprfonline,20,2022-03-01,35850
