region;municipality;settlement;oktmo;latitude_dd;longitude_dd;year;assets;assets_depreciation;assets_exhausted;assets_new;birth;build_flat;catering;catering_growth;collective_foreign;collective_people;collective_russian;comp_electr;comp_manufact;comp_mining;construction;crimes;criminals;death;doctors;doctors_per10;domesticserv;hospital_beds;hospital_beds_per10;hospitals;industry;invest_budg;invest_fed;invest_reg;investment;job_regist;job_regist_unempl;job_seeker;job_seeker_unempl;living_space;migration;n_companies;new_hospital_beds;new_housing;new_polycl_visits;new_preschool_places;new_school_places;nurses;nurses_per10;pens;pension;polycl_visits;polycl_visits_per10;polyclinic;pop_1_6;pop_old;pop_work;pop_young;population;preschool;preschool_child;preschool_coverage;preschool_places;preschool_waiting;pupils;retail;retail_growth;rni;schools;servises;volume_electr;volume_manufact;volume_mining;volume_water;wage;workers
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1985;NaN;NaN;NaN;NaN;16.0;NaN;0.107;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9.4;3868.0;60.7;0.031;11.2;176.4;41.0;2.8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12.8;NaN;NaN;120.0;205.5;NaN;1700.0;1176.0;7459.0;117.1;112.1;NaN;19.0;299.8;56.0;NaN;NaN;NaN;NaN;637.1;195.0;36.4;NaN;30.4;NaN;75.7;NaN;NaN;6.6;91.0;0.147;NaN;NaN;NaN;NaN;0.213;353.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1990;NaN;NaN;NaN;NaN;12.1;NaN;0.13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8071.0;NaN;9.2;4490.0;67.8;0.057;11.3;170.6;40.0;3.1;NaN;NaN;NaN;0.367;NaN;NaN;NaN;NaN;14.8;NaN;NaN;130.0;270.5;500.0;320.0;2592.0;9504.0;143.5;123.7;NaN;18.8;284.4;65.0;NaN;NaN;NaN;NaN;662.3;226.0;35.8;NaN;25.2;NaN;82.2;NaN;NaN;2.9;99.0;0.208;NaN;NaN;NaN;NaN;0.296;336.7
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1995;NaN;NaN;NaN;NaN;7.9;NaN;76.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12806.0;6656.0;14.0;4930.0;75.4;66.1;10.7;163.6;39.0;4055.0;NaN;NaN;NaN;616.3;7867.0;1461.0;NaN;NaN;15.9;NaN;12908.0;112.0;153.2;0.0;0.0;160.0;8803.0;134.6;146.4;NaN;23.3;355.8;67.0;NaN;NaN;NaN;NaN;653.8;185.0;24.0;NaN;24.7;NaN;88.6;NaN;NaN;-6.1;107.0;432.6;NaN;NaN;NaN;NaN;440.0;269.5
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1996;NaN;NaN;NaN;NaN;7.6;NaN;111.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;757.4;13730.0;7939.0;13.8;5179.0;79.5;98.9;10.7;164.9;39.0;7096.0;NaN;NaN;NaN;905.2;8898.0;4254.0;NaN;NaN;16.1;NaN;14330.0;0.0;112.3;0.0;0.0;105.0;8852.0;135.9;150.0;NaN;23.4;358.9;65.0;NaN;NaN;NaN;NaN;651.5;172.0;21.9;NaN;23.8;NaN;89.3;NaN;NaN;-6.2;107.0;694.6;NaN;NaN;NaN;NaN;756.5;262.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1997;NaN;NaN;NaN;NaN;7.6;NaN;134.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;573.9;13166.0;7095.0;12.5;5378.0;82.5;246.0;10.7;163.9;39.0;7680.0;NaN;NaN;NaN;729.9;8091.0;4674.0;NaN;NaN;16.4;NaN;15229.0;0.0;125.3;0.0;0.0;0.0;8880.0;136.3;153.2;NaN;23.0;352.2;65.0;NaN;NaN;NaN;NaN;651.7;166.0;20.8;NaN;22.8;NaN;89.2;NaN;NaN;-4.9;108.0;1035.4;NaN;NaN;NaN;NaN;889.9;257.6
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1998;NaN;NaN;NaN;NaN;8.2;NaN;172.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;474.3;15597.0;7023.0;11.3;5531.0;85.1;197.0;10.6;162.8;39.0;7219.0;27.0;9.1;NaN;912.2;9165.0;6590.0;NaN;NaN;17.0;NaN;16222.0;6.0;187.1;0.0;0.0;1729.0;8767.0;134.9;156.3;NaN;24.6;378.4;65.0;NaN;NaN;NaN;NaN;650.0;162.0;19.7;NaN;22.0;NaN;88.3;NaN;NaN;-3.1;110.0;1214.8;NaN;NaN;NaN;NaN;947.4;240.4
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;1999;NaN;NaN;NaN;NaN;8.1;NaN;175.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;726.5;16325.0;7700.0;12.0;5605.0;86.9;307.5;10.6;163.5;38.0;9397.9;26.4;7.2;NaN;1228.7;6258.0;4086.0;NaN;NaN;17.9;NaN;17587.0;154.0;202.5;0.0;0.0;1796.0;8900.0;137.9;158.0;NaN;23.9;370.8;66.0;NaN;NaN;NaN;NaN;645.2;158.0;19.6;NaN;21.4;NaN;84.8;8639.0;NaN;-3.9;110.0;1899.9;NaN;NaN;NaN;NaN;1300.0;246.4
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2000;NaN;NaN;NaN;NaN;8.7;NaN;211.1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1033.6;15512.0;6998.0;12.4;5669.0;88.1;397.6;10.5;163.7;37.0;13362.1;24.6;9.1;NaN;1423.0;6877.0;3078.0;NaN;NaN;18.2;NaN;19071.0;0.0;195.8;0.0;0.0;689.0;8663.0;134.7;159.6;NaN;23.7;368.1;66.0;NaN;NaN;NaN;NaN;643.3;154.0;20.1;NaN;21.1;NaN;80.9;12474.7;NaN;-3.7;112.0;2602.7;NaN;NaN;NaN;NaN;1873.2;242.0
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2001;NaN;NaN;NaN;NaN;9.2;NaN;300.6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1235.0;14228.0;6567.0;13.1;5871.0;91.9;549.9;10.5;164.0;36.0;15704.8;21.5;11.1;NaN;2084.0;8370.0;3541.0;NaN;NaN;18.6;NaN;21035.0;0.0;201.1;560.0;0.0;0.0;8912.0;139.5;160.5;NaN;23.3;364.6;66.0;NaN;NaN;NaN;NaN;639.0;152.0;19.6;NaN;19.6;NaN;77.5;16478.9;NaN;-3.9;110.0;3791.1;NaN;NaN;NaN;NaN;2473.0;232.6
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2002;NaN;NaN;NaN;NaN;10.3;1736.0;420.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1375.8;16985.0;5403.0;14.0;5835.0;92.0;666.3;10.4;164.0;36.0;16757.3;20.0;10.2;NaN;3095.0;7152.0;3381.0;NaN;NaN;19.0;NaN;23092.0;270.0;161.7;300.0;0.0;285.0;9029.0;142.4;160.7;1518.0;22.7;358.2;59.0;NaN;NaN;NaN;NaN;667.6;152.0;19.9;NaN;19.2;NaN;73.7;21686.0;NaN;-3.7;120.0;5101.4;NaN;NaN;NaN;NaN;3672.0;221.1
